Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
"Tailors, Dressmakers, and Custom Sewers (51-6052)",40,37.7,$21.04 ,"$43,760 ",4,$18.35 ,$19.69 ,$21.58 ,$22.68 ,$22.70 ,"$38,170 ","$40,960 ","$44,890 ","$47,170 ","$47,220 ",0.012,0.11
"Textile Cutting Machine Setters, Operators, and Tenders (51-6062)",50,14.7,$18.30 ,"$38,070 ",1.7,$15.76 ,$16.48 ,$18.11 ,$19.23 ,$20.68 ,"$32,790 ","$34,280 ","$37,660 ","$39,990 ","$43,010 ",0.015,0.27
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091)",(8) -,(8) -,$17.16 ,"$35,690 ",17.8,$14.93 ,$14.93 ,$14.93 ,$17.15 ,$23.65 ,"$31,060 ","$31,060 ","$31,060 ","$35,660 ","$49,200 ",(8) -,(8) -
Upholsterers (51-6093),370,20,$21.07 ,"$43,830 ",3.4,$16.87 ,$17.94 ,$21.45 ,$23.14 ,$24.88 ,"$35,090 ","$37,320 ","$44,620 ","$48,120 ","$51,740 ",0.116,0.85
Cabinetmakers and Bench Carpenters (51-7011),"1,440",20.2,$21.57 ,"$44,860 ",2.4,$17.23 ,$18.50 ,$21.12 ,$23.17 ,$26.91 ,"$35,840 ","$38,480 ","$43,930 ","$48,200 ","$55,970 ",0.45,0.87
Furniture Finishers (51-7021),530,20.2,$21.02 ,"$43,730 ",2.6,$16.26 ,$17.86 ,$18.32 ,$23.29 ,$29.79 ,"$33,820 ","$37,160 ","$38,110 ","$48,450 ","$61,960 ",0.165,1.79
"Sawing Machine Setters, Operators, and Tenders, Wood (51-7041)",300,25.8,$21.55 ,"$44,810 ",8.5,$16.42 ,$17.36 ,$20.58 ,$22.74 ,$28.79 ,"$34,150 ","$36,110 ","$42,810 ","$47,290 ","$59,890 ",0.094,0.34
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing (51-7042)",(8) -,(8) -,$19.91 ,"$41,410 ",3,$17.38 ,$17.82 ,$19.17 ,$22.00 ,$23.23 ,"$36,160 ","$37,060 ","$39,870 ","$45,760 ","$48,320 ",(8) -,(8) -
"Woodworkers, All Other (51-7099)",140,3.8,$23.43 ,"$48,740 ",0.9,$17.59 ,$17.59 ,$24.09 ,$29.47 ,$31.62 ,"$36,580 ","$36,580 ","$50,110 ","$61,300 ","$65,770 ",0.044,1.04
Power Distributors and Dispatchers (51-8012),190,10.6,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.059,0.99
Power Plant Operators (51-8013),890,2,$47.57 ,"$98,940 ",0.5,$30.65 ,$41.77 ,$51.54 ,$53.89 ,$53.89 ,"$63,750 ","$86,890 ","$107,210 ","$112,100 ","$112,100 ",0.277,1.39
Stationary Engineers and Boiler Operators (51-8021),110,18.2,$38.82 ,"$80,750 ",7.7,$29.07 ,$31.87 ,$35.01 ,$39.99 ,$65.40 ,"$60,470 ","$66,300 ","$72,820 ","$83,180 ","$136,020 ",0.034,0.17
Water and Wastewater Treatment Plant and System Operators (51-8031),"3,470",2.6,$28.12 ,"$58,490 ",0.8,$19.31 ,$23.22 ,$29.56 ,$31.52 ,$37.23 ,"$40,170 ","$48,290 ","$61,480 ","$65,560 ","$77,450 ",1.087,1.32
Gas Plant Operators (51-8092),(8) -,(8) -,$43.68 ,"$90,850 ",2.7,$37.15 ,$42.53 ,$45.63 ,$46.12 ,$47.31 ,"$77,270 ","$88,460 ","$94,900 ","$95,930 ","$98,400 ",(8) -,(8) -
"Petroleum Pump System Operators, Refinery Operators, and Gaugers (51-8093)",180,20.8,$35.50 ,"$73,850 ",6.2,$18.83 ,$21.25 ,$35.21 ,$46.63 ,$56.34 ,"$39,160 ","$44,210 ","$73,230 ","$96,980 ","$117,190 ",0.057,0.25
"Plant and System Operators, All Other (51-8099)",170,20.4,$30.62 ,"$63,690 ",5.9,$19.64 ,$22.96 ,$31.99 ,$35.58 ,$40.02 ,"$40,860 ","$47,770 ","$66,540 ","$74,010 ","$83,240 ",0.052,0.51
Chemical Equipment Operators and Tenders (51-9011),"1,310",22.4,$25.13 ,"$52,260 ",6.1,$17.76 ,$19.74 ,$22.17 ,$28.51 ,$36.16 ,"$36,940 ","$41,050 ","$46,110 ","$59,300 ","$75,210 ",0.411,0.5
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders (51-9012)",620,17.4,$25.35 ,"$52,730 ",2.9,$17.62 ,$19.59 ,$25.11 ,$28.82 ,$31.41 ,"$36,650 ","$40,760 ","$52,220 ","$59,950 ","$65,320 ",0.195,0.56
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders (51-9021)",(8) -,(8) -,$23.35 ,"$48,570 ",6,$18.71 ,$21.00 ,$23.10 ,$26.27 ,$26.27 ,"$38,910 ","$43,670 ","$48,040 ","$54,650 ","$54,650 ",(8) -,(8) -
"Grinding and Polishing Workers, Hand (51-9022)",250,19.6,$21.57 ,"$44,870 ",3.8,$16.47 ,$18.54 ,$20.47 ,$24.93 ,$28.09 ,"$34,260 ","$38,550 ","$42,570 ","$51,850 ","$58,440 ",0.079,1.03
"Mixing and Blending Machine Setters, Operators, and Tenders (51-9023)","1,380",22.5,$25.00 ,"$52,000 ",3.4,$17.84 ,$20.93 ,$22.29 ,$28.00 ,$35.43 ,"$37,100 ","$43,540 ","$46,370 ","$58,240 ","$73,700 ",0.432,0.66
"Cutters and Trimmers, Hand (51-9031)",(8) -,(8) -,$15.59 ,"$32,440 ",5.9,$14.35 ,$14.47 ,$14.48 ,$15.90 ,$19.14 ,"$29,850 ","$30,100 ","$30,110 ","$33,060 ","$39,810 ",(8) -,(8) -
"Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032)",710,27.1,$21.79 ,"$45,330 ",2.3,$16.84 ,$18.17 ,$21.79 ,$22.87 ,$27.65 ,"$35,030 ","$37,790 ","$45,320 ","$47,570 ","$57,520 ",0.221,0.72
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041)",450,9.1,$22.16 ,"$46,080 ",1.6,$17.39 ,$20.71 ,$21.64 ,$21.64 ,$33.60 ,"$36,180 ","$43,080 ","$45,020 ","$45,020 ","$69,890 ",0.139,0.37
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders (51-9051)",230,43.1,$21.32 ,"$44,350 ",8.9,$17.99 ,$19.47 ,$19.47 ,$21.13 ,$32.16 ,"$37,430 ","$40,490 ","$40,490 ","$43,960 ","$66,890 ",0.073,0.69
"Inspectors, Testers, Sorters, Samplers, and Weighers (51-9061)","9,700",3.9,$26.96 ,"$56,070 ",1.5,$18.71 ,$21.68 ,$24.34 ,$30.51 ,$37.27 ,"$38,920 ","$45,100 ","$50,620 ","$63,460 ","$77,520 ",3.035,0.79
Jewelers and Precious Stone and Metal Workers (51-9071),360,33.2,$21.77 ,"$45,270 ",8.9,$16.87 ,$17.23 ,$19.24 ,$22.59 ,$29.43 ,"$35,080 ","$35,850 ","$40,010 ","$46,980 ","$61,210 ",0.114,0.75
Dental Laboratory Technicians (51-9081),930,16.8,$26.92 ,"$55,990 ",4.7,$17.47 ,$20.54 ,$22.87 ,$29.95 ,$39.37 ,"$36,330 ","$42,730 ","$47,560 ","$62,300 ","$81,890 ",0.292,1.33
Medical Appliance Technicians (51-9082),410,31.3,$32.72 ,"$68,060 ",4.5,$23.44 ,$30.41 ,$31.27 ,$38.18 ,$38.21 ,"$48,760 ","$63,240 ","$65,040 ","$79,400 ","$79,480 ",0.128,1.72
Ophthalmic Laboratory Technicians (51-9083),240,34.9,$20.95 ,"$43,570 ",6.5,$16.46 ,$17.82 ,$20.71 ,$21.00 ,$24.39 ,"$34,240 ","$37,060 ","$43,090 ","$43,680 ","$50,730 ",0.075,0.62
Packaging and Filling Machine Operators and Tenders (51-9111),"4,970",8,$20.42 ,"$42,480 ",1.5,$15.67 ,$17.17 ,$19.10 ,$22.73 ,$27.60 ,"$32,580 ","$35,720 ","$39,720 ","$47,290 ","$57,400 ",1.554,0.62
"Painting, Coating, and Decorating Workers (51-9123)",(8) -,(8) -,$18.17 ,"$37,790 ",17.2,$15.80 ,$16.19 ,$17.21 ,$18.57 ,$20.60 ,"$32,860 ","$33,670 ","$35,790 ","$38,620 ","$42,850 ",(8) -,(8) -
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (51-9124)","2,080",13.6,$24.99 ,"$51,990 ",5.2,$16.48 ,$18.31 ,$21.83 ,$26.34 ,$39.36 ,"$34,280 ","$38,070 ","$45,400 ","$54,790 ","$81,860 ",0.652,0.63
Semiconductor Processing Technicians (51-9141),"3,730",1.4,$36.27 ,"$75,440 ",0.5,$23.85 ,$30.13 ,$37.53 ,$46.81 ,$47.65 ,"$49,600 ","$62,670 ","$78,050 ","$97,360 ","$99,100 ",1.168,5.6
Photographic Process Workers and Processing Machine Operators (51-9151),(8) -,(8) -,$17.92 ,"$37,280 ",3.8,$16.27 ,$16.32 ,$17.08 ,$18.21 ,$21.36 ,"$33,850 ","$33,940 ","$35,520 ","$37,870 ","$44,430 ",(8) -,(8) -
Computer Numerically Controlled Tool Operators (51-9161),"1,810",14.9,$24.99 ,"$51,990 ",1.7,$18.81 ,$20.67 ,$23.39 ,$29.02 ,$31.59 ,"$39,130 ","$43,000 ","$48,650 ","$60,350 ","$65,700 ",0.566,0.49
Computer Numerically Controlled Tool Programmers (51-9162),520,21.5,$33.81 ,"$70,330 ",2.4,$23.94 ,$26.28 ,$33.28 ,$38.47 ,$45.83 ,"$49,800 ","$54,650 ","$69,220 ","$80,010 ","$95,320 ",0.162,0.89
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders (51-9192)",290,21.3,$19.98 ,"$41,550 ",2.7,$16.90 ,$18.09 ,$18.54 ,$20.85 ,$23.54 ,"$35,140 ","$37,630 ","$38,550 ","$43,360 ","$48,960 ",0.09,1
Etchers and Engravers (51-9194),220,38.4,$19.04 ,"$39,610 ",4.2,$16.18 ,$16.18 ,$16.98 ,$23.05 ,$25.68 ,"$33,650 ","$33,650 ","$35,330 ","$47,950 ","$53,410 ",0.068,1.26
"Molders, Shapers, and Casters, Except Metal and Plastic (51-9195)",370,45.9,$23.13 ,"$48,110 ",5.6,$17.67 ,$18.62 ,$22.68 ,$23.75 ,$27.97 ,"$36,750 ","$38,720 ","$47,170 ","$49,390 ","$58,190 ",0.114,0.51
"Paper Goods Machine Setters, Operators, and Tenders (51-9196)",980,2,$22.73 ,"$47,270 ",0.9,$18.96 ,$20.36 ,$22.89 ,$23.98 ,$27.24 ,"$39,430 ","$42,340 ","$47,620 ","$49,870 ","$56,650 ",0.305,0.49
Tire Builders (51-9197),(8) -,(8) -,$27.07 ,"$56,300 ",17.3,$27.59 ,$27.59 ,$27.59 ,$27.59 ,$27.59 ,"$57,380 ","$57,380 ","$57,380 ","$57,390 ","$57,390 ",(8) -,(8) -
Helpers--Production Workers (51-9198),"1,440",12,$18.75 ,"$39,000 ",1.7,$15.32 ,$17.06 ,$18.00 ,$20.50 ,$23.00 ,"$31,870 ","$35,480 ","$37,440 ","$42,640 ","$47,830 ",0.45,0.41
"Production Workers, All Other (51-9199)","2,560",26.9,$21.13 ,"$43,950 ",3.2,$17.27 ,$18.71 ,$18.80 ,$23.02 ,$27.65 ,"$35,910 ","$38,910 ","$39,110 ","$47,890 ","$57,520 ",0.802,0.45
Transportation and Material Moving Occupations (53-0000),"266,750",1.2,$22.95 ,"$47,730 ",0.8,$15.36 ,$17.46 ,$20.48 ,$24.59 ,$31.15 ,"$31,950 ","$36,310 ","$42,600 ","$51,150 ","$64,790 ",83.443,0.94
Aircraft Cargo Handling Supervisors (53-1041),240,7.2,$38.26 ,"$79,580 ",2.3,$26.04 ,$33.13 ,$35.69 ,$47.01 ,$49.01 ,"$54,170 ","$68,900 ","$74,230 ","$97,780 ","$101,940 ",0.075,1.14
"First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors (53-1047)","10,650",3.2,$30.23 ,"$62,880 ",0.9,$20.16 ,$22.98 ,$29.46 ,$35.62 ,$40.46 ,"$41,940 ","$47,790 ","$61,270 ","$74,100 ","$84,160 ",3.33,0.85
"Airline Pilots, Copilots, and Flight Engineers (53-2011)","2,070",6.6,(4) -,"$209,750 ",3.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$96,410 ","$127,890 ","$198,800 ",(5) -,(5) -,0.649,1.01
Commercial Pilots (53-2012),"1,330",31.1,(4) -,"$121,860 ",21.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$55,130 ","$78,140 ","$102,280 ","$144,220 ","$201,150 ",0.416,1.24
Air Traffic Controllers (53-2021),380,6.2,$65.19 ,"$135,590 ",2.1,$40.97 ,$51.17 ,$62.96 ,$79.93 ,$91.71 ,"$85,220 ","$106,430 ","$130,960 ","$166,250 ","$190,760 ",0.119,0.82
Airfield Operations Specialists (53-2022),150,16.5,$36.21 ,"$75,320 ",3.7,$23.56 ,$29.00 ,$38.59 ,$41.48 ,$47.83 ,"$48,990 ","$60,320 ","$80,260 ","$86,270 ","$99,480 ",0.047,0.43
Flight Attendants (53-2031),"3,950",2.4,(4) -,"$52,900 ",1.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$31,590 ","$31,670 ","$38,130 ","$76,510 ","$78,530 ",1.235,1.46
Driver/Sales Workers (53-3031),"10,020",10.5,$20.15 ,"$41,920 ",3.2,$14.38 ,$16.16 ,$18.71 ,$22.04 ,$27.94 ,"$29,910 ","$33,620 ","$38,910 ","$45,850 ","$58,120 ",3.135,1.16
Heavy and Tractor-Trailer Truck Drivers (53-3032),"42,270",3.8,$26.64 ,"$55,420 ",1.2,$18.63 ,$21.76 ,$25.81 ,$29.97 ,$36.05 ,"$38,760 ","$45,260 ","$53,690 ","$62,340 ","$74,970 ",13.223,0.98
Light Truck Drivers (53-3033),"18,100",5.4,$24.74 ,"$51,450 ",2.1,$16.09 ,$18.73 ,$23.04 ,$26.19 ,$43.43 ,"$33,460 ","$38,960 ","$47,910 ","$54,480 ","$90,340 ",5.662,0.88
"Bus Drivers, School (53-3051)","4,710",2.6,$20.97 ,"$43,620 ",0.4,$17.47 ,$18.72 ,$20.96 ,$22.71 ,$23.83 ,"$36,340 ","$38,930 ","$43,610 ","$47,240 ","$49,570 ",1.474,0.59
"Bus Drivers, Transit and Intercity (53-3052)","2,850",4.9,$24.77 ,"$51,510 ",2.8,$18.40 ,$20.87 ,$23.40 ,$28.30 ,$32.35 ,"$38,270 ","$43,420 ","$48,660 ","$58,860 ","$67,300 ",0.89,0.92
Shuttle Drivers and Chauffeurs (53-3053),"5,000",5.7,$18.75 ,"$39,000 ",1.5,$14.72 ,$16.22 ,$17.57 ,$21.12 ,$22.83 ,"$30,610 ","$33,740 ","$36,540 ","$43,930 ","$47,490 ",1.564,1.05
Taxi Drivers (53-3054),730,9.2,$15.12 ,"$31,460 ",10.1,$14.35 ,$15.06 ,$15.07 ,$15.07 ,$15.07 ,"$29,850 ","$31,320 ","$31,340 ","$31,340 ","$31,340 ",0.227,2
"Motor Vehicle Operators, All Other (53-3099)",400,20.7,$25.24 ,"$52,500 ",9.9,$16.73 ,$18.54 ,$23.00 ,$28.38 ,$42.31 ,"$34,800 ","$38,560 ","$47,840 ","$59,030 ","$88,010 ",0.126,0.39
Locomotive Engineers (53-4011),380,0.4,$40.36 ,"$83,940 ",0.6,$30.67 ,$38.65 ,$39.03 ,$47.19 ,$47.98 ,"$63,800 ","$80,390 ","$81,170 ","$98,150 ","$99,790 ",0.119,0.58
Railroad Conductors and Yardmasters (53-4031),400,1,$35.80 ,"$74,460 ",1,$25.18 ,$31.36 ,$35.65 ,$36.74 ,$48.45 ,"$52,370 ","$65,240 ","$74,160 ","$76,420 ","$100,770 ",0.126,0.46
Parking Attendants (53-6021),"3,330",15,$16.31 ,"$33,920 ",1.5,$14.35 ,$14.35 ,$15.87 ,$17.35 ,$18.16 ,"$29,850 ","$29,850 ","$33,020 ","$36,090 ","$37,760 ",1.043,1.19
Automotive and Watercraft Service Attendants (53-6031),670,14.9,$18.26 ,"$37,980 ",1.7,$14.93 ,$15.42 ,$16.70 ,$20.02 ,$23.11 ,"$31,040 ","$32,070 ","$34,740 ","$41,640 ","$48,060 ",0.21,0.33
Aircraft Service Attendants (53-6032),460,28.5,$19.49 ,"$40,540 ",2.9,$17.22 ,$18.03 ,$19.04 ,$20.53 ,$22.03 ,"$35,830 ","$37,500 ","$39,610 ","$42,700 ","$45,820 ",0.143,0.81
Traffic Technicians (53-6041),280,2.6,$30.40 ,"$63,230 ",0.5,$22.53 ,$23.54 ,$28.78 ,$34.84 ,$37.94 ,"$46,870 ","$48,970 ","$59,870 ","$72,460 ","$78,920 ",0.089,1.81
Transportation Inspectors (53-6051),930,25.6,$31.46 ,"$65,450 ",15.9,$15.40 ,$17.19 ,$22.09 ,$40.63 ,$61.69 ,"$32,040 ","$35,760 ","$45,950 ","$84,520 ","$128,320 ",0.292,1.93
Passenger Attendants (53-6061),360,48.4,$18.22 ,"$37,900 ",5.6,$17.11 ,$17.23 ,$17.25 ,$18.93 ,$19.64 ,"$35,590 ","$35,830 ","$35,880 ","$39,370 ","$40,840 ",0.113,0.69
"Transportation Workers, All Other (53-6099)",50,27,$25.00 ,"$52,000 ",6.8,$16.51 ,$16.51 ,$23.14 ,$29.88 ,$36.76 ,"$34,330 ","$34,330 ","$48,140 ","$62,150 ","$76,460 ",0.015,0.22
Conveyor Operators and Tenders (53-7011),670,3.1,$18.79 ,"$39,090 ",0.5,$17.24 ,$18.53 ,$18.54 ,$18.60 ,$20.53 ,"$35,860 ","$38,540 ","$38,560 ","$38,680 ","$42,710 ",0.211,1.25
Crane and Tower Operators (53-7021),"1,110",35.1,$33.12 ,"$68,880 ",5.4,$23.02 ,$29.96 ,$32.67 ,$37.26 ,$42.71 ,"$47,880 ","$62,330 ","$67,960 ","$77,510 ","$88,830 ",0.347,1.27
Industrial Truck and Tractor Operators (53-7051),"14,760",4.1,$22.83 ,"$47,480 ",1.2,$18.35 ,$21.24 ,$22.72 ,$22.96 ,$29.46 ,"$38,180 ","$44,190 ","$47,250 ","$47,750 ","$61,280 ",4.618,0.88
Cleaners of Vehicles and Equipment (53-7061),"6,600",6.8,$17.42 ,"$36,240 ",1.3,$14.51 ,$14.93 ,$16.89 ,$17.99 ,$21.32 ,"$30,180 ","$31,050 ","$35,130 ","$37,430 ","$44,340 ",2.065,0.85
"Laborers and Freight, Stock, and Material Movers, Hand (53-7062)","73,540",2.8,$20.50 ,"$42,640 ",0.6,$16.02 ,$17.32 ,$18.83 ,$22.45 ,$28.47 ,"$33,330 ","$36,030 ","$39,160 ","$46,690 ","$59,210 ",23.003,1.19
Machine Feeders and Offbearers (53-7063),210,34.6,$19.61 ,"$40,780 ",1.3,$17.77 ,$18.34 ,$19.17 ,$20.91 ,$21.43 ,"$36,960 ","$38,140 ","$39,870 ","$43,490 ","$44,570 ",0.065,0.21
"Packers and Packagers, Hand (53-7064)","7,890",8,$18.64 ,"$38,780 ",1.3,$14.53 ,$16.17 ,$17.97 ,$19.95 ,$23.55 ,"$30,220 ","$33,630 ","$37,380 ","$41,500 ","$48,980 ",2.468,0.63
Stockers and Order Fillers (53-7065),"49,430",3.4,$18.86 ,"$39,230 ",0.4,$14.81 ,$16.67 ,$17.98 ,$20.11 ,$23.14 ,"$30,800 ","$34,680 ","$37,400 ","$41,820 ","$48,130 ",15.464,0.86
"Pump Operators, Except Wellhead Pumpers (53-7072)",(8) -,(8) -,$37.76 ,"$78,530 ",9.1,$26.19 ,$27.00 ,$39.15 ,$47.59 ,$47.61 ,"$54,480 ","$56,170 ","$81,430 ","$98,990 ","$99,020 ",(8) -,(8) -
Refuse and Recyclable Material Collectors (53-7081),"2,020",12.9,$22.91 ,"$47,650 ",6.3,$16.32 ,$16.32 ,$19.06 ,$29.11 ,$31.61 ,"$33,950 ","$33,950 ","$39,650 ","$60,560 ","$65,750 ",0.632,0.7
"Tank Car, Truck, and Ship Loaders (53-7121)",(8) -,(8) -,$21.64 ,"$45,000 ",22.9,$15.00 ,$16.00 ,$16.88 ,$32.09 ,$32.09 ,"$31,200 ","$33,280 ","$35,110 ","$66,750 ","$66,750 ",(8) -,(8) -
"Material Moving Workers, All Other (53-7199)",110,8.7,$25.91 ,"$53,880 ",0.6,$21.84 ,$22.10 ,$22.83 ,$32.39 ,$33.00 ,"$45,420 ","$45,960 ","$47,480 ","$67,360 ","$68,640 ",0.033,0.2
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
"(4) Wages for some occupations that do not generally work year-round, full time, are reported either as hourly wages or annual salaries depending on how they are typically paid.",,,,,,,,,,,,,,,,,
"(5) This wage is equal to or greater than $115.00 per hour or $239,200 per year.",,,,,,,,,,,,,,,,,
(8) Estimate not released.,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on January 17, 2026",,,,,,,,,,,,,,,,,
